Original Address,Formmatted Address,Street1,Street2,City,State,Postal Code,Country
222 OLD COACH ROAD  RIVERVIEW ,"222 Old Coach Rd, Riverview, NB, Canada",222 Old Coach Rd,,Riverview,NB,,CAN
   ,   ,N/A N/A,N/A,N/A,N/A,N/A,N/A
660 BRIDGE STREET  MONTREAL ,"Montreal, QC, Canada", ,,Montreal,QC,,CAN
3500 COTE-VERTU  VILLE SAINT-LAURENT ,3500 COTEVERTU  VILLE SAINTLAURENT , ,,,,,
4/48 HOLDER WAY  MALAGA ,"Holder Way, Malaga, WA, Australia", Holder Way,,Malaga,WA,,AUS
 4485 DOBRIN SAINT-LAURENT , 4485 DOBRIN SAINTLAURENT , ,,,,,
"POSTBOKS 33 FAREXVEIEN, LINDEBERG N-2016 FROGNER ",POSTBOKS 33 FAREXVEIEN LINDEBERG N2016 FROGNER , ,,,,,
N49W13650 CAMPBELL DR.  MENOMONEE ,"N49W 13650 Campbell Drive, Menomonee Falls, WI, USA",N49W 13650 Campbell Drive,,Menomonee Falls,WI,,USA
660C LEG IN BOOT SQUARE  VANCOUVER ,"Vancouver, BC, Canada", ,,Vancouver,BC,,CAN
5100 DE MAISONNEUVE O.  MONTREAL ,"5100 Boulevard De Maisonneuve O, Montreal, QC, Canada",5100 Boulevard De Maisonneuve O,,Montreal,QC,,CAN
Andrew Hedrei 9255 LACORDAIRE ST-LÉONARD ,"9255 9255, Baker County, FL, USA",9255 9255,,,FL,,USA
20 RUE DE LA COORPERATIVE  RIGAUD ,"20 Rue de la Coopérative, Rigaud, QC, Canada",20 Rue de la Coopérative,,Rigaud,QC,,CAN
 1221 - 32nd AVENUE LACHINE ,"Lachine, Montreal, QC, Canada", ,,Montreal,QC,,CAN
