Item,Manufacturer,Collection,Name,Color,Vendor_SKU,Designer,Fabric_Type,Fiber_Contents,Fabric_Width,Putup_Format, Sales Price , Cost ,Product Category
BD-17632-B01-15,Odoo Fabrics,Tone on Tone,Tone on Tone - White - 15-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 49.20 , $ 27.75 ,Units
BD-17632-B01-13.25,Santee Print Works,Tone on Tone,Tone on Tone - White - 13.25-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 43.46 , $ 24.51 ,Units
BD-17632-B01-13.125,Santee Print Works,Tone on Tone,Tone on Tone - White - 13.125-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 43.05 , $ 24.28 ,Units
BD-17632-B01-12.625,Santee Print Works,Tone on Tone,Tone on Tone - White - 12.625-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 41.41 , $ 23.36 ,Units
BD-17632-B01-12.25,Santee Print Works,Tone on Tone,Tone on Tone - White - 12.25-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 40.18 , $ 22.66 ,Units
BD-17632-B01-11.875,Santee Print Works,Tone on Tone,Tone on Tone - White - 11.875-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 38.95 , $ 21.97 ,Units
BD-17632-B01-10,Santee Print Works,Tone on Tone,Tone on Tone - White - 10-yard bolt,White,Card 8 - 17632-W/W,,Cotton,100% Cotton,"45"" wide",D/R, $ 32.80 , $ 18.50 ,Units
BD-17632-B02-18,Santee Print Works,Tone on Tone,Tone on Tone - Tone - 18-yard bolt,Tone,Card 8 17632/T W/T,,Cotton,100% Cotton,"45"" wide",D/R, $ 59.04 , $ 33.30 ,Units
BD-17632-B02-15,Santee Print Works,Tone on Tone,Tone on Tone - Tone - 15-yard bolt,Tone,Card 8 17632/T W/T,,Cotton,100% Cotton,"45"" wide",D/R, $ 49.20 , $ 27.75 ,Units
BD-17632-B02-14.125,Santee Print Works,Tone on Tone,Tone on Tone - Tone - 14.125-yard bolt,Tone,Card 8 17632/T W/T,,Cotton,100% Cotton,"45"" wide",D/R, $ 46.33 , $ 26.13 ,Units
BD-17632-B02-12.875,Santee Print Works,Tone on Tone,Tone on Tone - Tone - 12.875-yard bolt,Tone,Card 8 17632/T W/T,,Cotton,100% Cotton,"45"" wide",D/R, $ 42.23 , $ 23.82 ,Units
